station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, 82.0, None, None, None, None, None, None, None, None, None, 2012-11-04 16:00:00, None
None, 82.0, None, None, None, None, None, None, None, None, None, 2012-11-05 16:00:00, None
None, 88.0, None, None, None, None, None, None, None, None, None, 2012-11-06 16:00:00, None
None, 91.0, None, None, None, None, None, None, None, None, None, 2012-11-07 16:00:00, None
None, 91.0, None, None, None, None, None, None, None, None, None, 2012-11-08 16:00:00, None
None, 94.0, None, None, None, None, None, None, None, None, None, 2012-11-09 16:00:00, None
None, 94.0, None, None, None, None, None, None, None, None, None, 2012-11-10 16:00:00, None
None, 94.0, None, None, None, None, None, None, None, None, None, 2012-11-11 16:00:00, None
None, 101.0, None, None, None, None, None, None, None, None, None, 2012-11-12 16:00:00, None
None, 107.0, None, None, None, None, None, None, None, None, None, 2012-11-13 16:00:00, None
None, 110.0, None, None, None, None, None, None, None, None, None, 2012-11-14 16:00:00, None
None, 110.0, None, None, None, None, None, None, None, None, None, 2012-11-15 16:00:00, None
None, 110.0, None, None, None, None, None, None, None, None, None, 2012-11-16 16:00:00, None
None, 119.0, None, None, None, None, None, None, None, None, None, 2012-11-17 16:00:00, None
None, 113.0, None, None, None, None, None, None, None, None, None, 2012-11-18 16:00:00, None
None, 110.0, None, None, None, None, None, None, None, None, None, 2012-11-19 16:00:00, None
None, 110.0, None, None, None, None, None, None, None, None, None, 2012-11-20 16:00:00, None
None, 110.0, None, None, None, None, None, None, None, None, None, 2012-11-21 16:00:00, None
None, 116.0, None, None, None, None, None, None, None, None, None, 2012-11-22 16:00:00, None
None, 122.0, None, None, None, None, None, None, None, None, None, 2012-11-23 16:00:00, None
None, 122.0, None, None, None, None, None, None, None, None, None, 2012-11-24 16:00:00, None
None, 122.0, None, None, None, None, None, None, None, None, None, 2012-11-25 16:00:00, None
None, 122.0, None, None, None, None, None, None, None, None, None, 2012-11-26 16:00:00, None
None, 122.0, None, None, None, None, None, None, None, None, None, 2012-11-27 16:00:00, None
None, 125.0, None, None, None, None, None, None, None, None, None, 2012-11-28 16:00:00, None
None, 128.0, None, None, None, None, None, None, None, None, None, 2012-11-29 16:00:00, None
None, 140.0, None, None, None, None, None, None, None, None, None, 2012-11-30 16:00:00, None
